year,state_fips,county_fips,county_name,ndvi_corn_mean,corn_pixel_count
2011,17,151,Pope,0.7700415891775811,542
2011,17,033,Crawford,0.7571375466273167,7031
2011,17,135,Montgomery,0.7562517795301879,15812
2011,17,055,Franklin,0.721305141951555,3518
2011,17,023,Clark,0.7550687277547942,7556
2011,17,059,Gallatin,0.7713536790026224,5398
2011,17,075,Iroquois,0.7619741689179161,32836
2011,17,041,Douglas,0.7691793964222583,11147
2011,17,189,Washington,0.6922083152233799,8989
2011,17,159,Richland,0.7442849151445093,6143
2011,17,065,Hamilton,0.7203323212793199,5639
2011,17,193,White,0.7618400256086966,7668
2011,17,169,Schuyler,0.7874880278623583,5958
2011,17,181,Union,0.7306499025951421,1341
2011,17,085,Jo Daviess,0.8007538464906915,10407
2011,17,125,Mason,0.775318339345828,12821
2011,17,191,Wayne,0.7297714307815996,9497
2011,17,069,Hardin,0.7860427311384303,280
2011,17,061,Greene,0.7944819130269605,11630
2011,17,157,Randolph,0.7033378229714552,5486
2011,17,149,Pike,0.7895834451735049,15595
2011,17,145,Perry,0.7005807288329147,4690
2011,17,087,Johnson,0.7850390665905264,573
2011,17,173,Shelby,0.7491049136242544,16282
2011,17,051,Fayette,0.7493919824487992,9624
2011,17,139,Moultrie,0.7627811154939181,8874
2011,17,017,Cass,0.787474655911192,8606
2011,17,015,Carroll,0.8057209791385614,14099
2011,17,047,Edwards,0.7493027432925382,3735
2011,17,079,Jasper,0.7484758532992014,9054
2011,17,187,Warren,0.8104957822045312,15558
2011,17,153,Pulaski,0.7748911221327948,1539
2011,17,165,Saline,0.7300760271082422,4195
2011,17,101,Lawrence,0.7423665178239182,6395
2011,17,045,Edgar,0.783427572357083,14563
2011,17,071,Henderson,0.8006610515484149,9467
2011,17,199,Williamson,0.7555032199475178,1464
2011,17,077,Jackson,0.6861389034846459,3656
2011,17,147,Piatt,0.7694522412788102,12784
2011,17,053,Ford,0.7516287307875772,14086
2011,17,019,Champaign,0.7673775210063729,26683
2011,17,029,Coles,0.7708488932921111,11229
2011,17,035,Cumberland,0.7644202787062035,6083
2011,17,183,Vermilion,0.76453427209731,20953
2011,17,115,Macon,0.7761042142731719,15576
2011,17,049,Effingham,0.7489933482469677,7301
2011,17,067,Hancock,0.7740581590728991,15466
2011,17,095,Knox,0.8013898851212267,16447
2011,17,109,McDonough,0.8088694889739637,14026
2011,17,081,Jefferson,0.7119568990972217,4667
2011,17,113,McLean,0.8016748973335142,32597
2011,17,039,De Witt,0.8171655377014159,10493
2011,17,105,Livingston,0.7821695998363697,29245
2011,17,003,Alexander,0.671633751531298,712
2011,17,093,Kendall,0.7772867155946279,8383
2011,17,031,Cook,0.6768343529112167,435
2011,17,037,DeKalb,0.7881189636428176,22334
2011,17,089,Kane,0.7867042438335907,8648
2011,17,063,Grundy,0.7882951403066318,10512
2011,17,111,McHenry,0.7812760740025518,10069
2011,17,197,Will,0.7442151580202583,10006
2011,17,043,DuPage,0.7504917892608068,249
2011,17,097,Lake,0.7305279069059688,1127
2011,17,091,Kankakee,0.7614957814578845,19058
2011,17,011,Bureau,0.8051346252905989,29116
2011,17,155,Putnam,0.7963537862230006,3904
2011,17,099,LaSalle,0.8036749274844088,31293
2011,17,131,Mercer,0.7930368970054338,14222
2011,17,161,Rock Island,0.7903571807748894,7358
2011,17,073,Henry,0.7960207723212069,24199
2011,17,103,Lee,0.7924782488977463,26788
2011,17,195,Whiteside,0.7819142594073034,24454
2011,19,149,Plymouth,0.7988274270862206,20754
2011,19,193,Woodbury,0.7826828232704841,19369
2011,19,027,Carroll,0.8197080682014074,16825
2011,19,061,Dubuque,0.7929878082649655,12421
2011,19,101,Jefferson,0.7481056530991035,6671
2011,19,187,Webster,0.8276851581709825,18698
2011,19,111,Lee,0.7455258790783728,6872
2011,19,127,Marshall,0.808542462429915,13789
2011,19,195,Worth,0.811052983186519,10778
2011,19,033,Cerro Gordo,0.8154798206894033,16097
2011,19,051,Davis,0.7383376885170468,4481
2011,19,179,Wapello,0.77614054718411,5418
2011,19,041,Clay,0.7854694632749077,14219
2011,19,059,Dickinson,0.7788947189179222,8574
2011,19,021,Buena Vista,0.8122424802629804,15193
2011,19,013,Black Hawk,0.7924947146361245,13907
2011,19,075,Grundy,0.8120457586760923,14168
2011,19,017,Bremer,0.8263208936096534,11369
2011,19,085,Harrison,0.7745771261097225,16307
2011,19,129,Mills,0.7620636222944699,9290
2011,19,155,Pottawattamie,0.7715832449300148,21713
2011,19,123,Mahaska,0.7925875784064204,11493
2011,19,125,Marion,0.778841549538207,7142
2011,19,053,Decatur,0.7770427260708945,3902
2011,19,031,Cedar,0.7952068798049079,15052
2011,19,151,Pocahontas,0.8183645696550038,16148
2011,19,109,Kossuth,0.8105827204234142,28116
2011,19,089,Howard,0.8049572775519376,11838
2011,19,147,Palo Alto,0.7896585266215274,15989
2011,19,159,Ringgold,0.7794891313242486,5964
2011,19,025,Calhoun,0.826060544922941,16067
2011,19,039,Clarke,0.7540999745138431,4087
2011,19,065,Fayette,0.8074422844598822,17522
2011,19,001,Adair,0.7902432620567668,11095
2011,19,037,Chickasaw,0.8186024825262149,12996
2011,19,081,Hancock,0.8164597546578675,17563
2011,19,157,Poweshiek,0.8071739368310115,12987
2011,19,165,Shelby,0.8088873012668157,15882
2011,19,185,Wayne,0.7792765096168672,5767
2011,19,097,Jackson,0.791232885318185,9254
2011,19,043,Clayton,0.8032712137611601,13809
2011,19,007,Appanoose,0.76632062580401,3637
2011,19,177,Van Buren,0.7348761348694681,4531
2011,19,197,Wright,0.8271877049017239,16136
2011,19,137,Montgomery,0.7953140137775196,8577
2011,19,175,Union,0.7649881052209873,5852
2011,19,107,Keokuk,0.7877759441427031,10125
2011,19,131,Mitchell,0.810273856459556,13666
2011,19,191,Winneshiek,0.79914345934044,13970
2011,19,161,Sac,0.8112126716238427,15766
