year,period,state_fips,county_fips,county_name,soil_moisture_vol
2010,jun,31,069,Garden,0.24403746326146988
2010,jun,31,083,Harlan,0.2762597927832326
2010,jun,31,091,Hooker,0.23517086580377913
2010,jun,31,147,Richardson,0.3552755372019917
2010,jun,31,065,Furnas,0.25633613043182724
2010,jun,31,175,Valley,0.36174190151298175
2010,jun,31,141,Platte,0.36766106823032374
2010,jun,31,121,Merrick,0.3656104747009224
2010,jun,31,079,Hall,0.35191970594967614
2010,jun,31,081,Hamilton,0.3585146715539746
2010,jun,31,093,Howard,0.36284342554137194
2010,jun,31,001,Adams,0.3306519225393325
2010,jun,31,099,Kearney,0.3181492276344197
2010,jun,31,019,Buffalo,0.34100444002246433
2010,jun,31,073,Gosper,0.3047813712093876
2010,jun,31,047,Dawson,0.33100019838000033
2010,jun,37,037,Chatham,0.3796162214856754
2010,jun,37,115,Madison,0.41757854282418155
2010,jun,37,087,Haywood,0.44849850749026127
2010,jun,37,021,Buncombe,0.4210898026665141
2010,jun,37,089,Henderson,0.42635676831964275
2010,jun,37,175,Transylvania,0.44194554293964083
2010,jun,37,167,Stanly,0.34616594347866514
2010,jun,37,109,Lincoln,0.36843834129502623
2010,jun,37,159,Rowan,0.3365058313083647
2010,jun,37,025,Cabarrus,0.3409943395269712
2010,jun,37,097,Iredell,0.37611120106871504
2010,jun,37,071,Gaston,0.3454366181767467
2010,jun,37,179,Union,0.3461891238043064
2010,jun,37,119,Mecklenburg,0.3143173562617802
2010,jun,37,045,Cleveland,0.35443373177410115
2010,jun,37,005,Alleghany,0.4112932144030622
2010,jun,37,173,Swain,0.4474871539526027
2010,jun,37,011,Avery,0.4458007442112968
2010,jun,37,033,Caswell,0.3717633632963907
2010,jun,37,075,Graham,0.44448366759576363
2010,jun,37,007,Anson,0.32965296989497506
2010,jun,37,149,Polk,0.3956270762296123
2010,jun,37,039,Cherokee,0.43818438420354106
2010,jun,37,113,Macon,0.43355873718667276
2010,jun,37,009,Ashe,0.42657487166183156
2010,jun,37,123,Montgomery,0.34617544041676057
2010,jun,37,043,Clay,0.4350242053225374
2010,jun,37,121,Mitchell,0.44805964189668573
2010,jun,37,199,Yancey,0.435396949138761
2010,jun,37,189,Watauga,0.4383087143766171
2010,jun,37,099,Jackson,0.4446773773742268
2010,jun,37,161,Rutherford,0.3806543167908729
2010,jun,37,193,Wilkes,0.39806082541671506
2010,jun,37,125,Moore,0.2815624026069186
2010,jun,37,153,Richmond,0.2377877375639666
2010,jun,37,093,Hoke,0.2188124323919554
2010,jun,37,165,Scotland,0.20730052636297028
2010,jun,37,155,Robeson,0.31738484307060555
2010,jun,37,001,Alamance,0.3595766803085966
2010,jun,37,151,Randolph,0.3583686845561332
2010,jun,37,081,Guilford,0.35790424262213577
2010,jun,37,157,Rockingham,0.35984388865616573
2010,jun,37,171,Surry,0.38102171810274826
2010,jun,37,057,Davidson,0.329876937205586
2010,jun,37,169,Stokes,0.3689673462857456
2010,jun,37,067,Forsyth,0.35294378403164617
2010,jun,37,197,Yadkin,0.37523529166829056
2010,jun,37,059,Davie,0.3648627464694453
2010,jun,37,027,Caldwell,0.39668573496378157
2010,jun,37,003,Alexander,0.3573817495164267
2010,jun,37,035,Catawba,0.36350675317801606
2010,jun,37,023,Burke,0.38795450433654777
2010,jun,37,111,McDowell,0.4150876740443524
2010,jun,37,029,Camden,0.49087756109295666
2010,jun,37,139,Pasquotank,0.3852848049040507
2010,jun,37,143,Perquimans,0.3612846192170348
2010,jun,37,177,Tyrrell,0.5324788201344203
2010,jun,37,055,Dare,0.5342715782813333
2010,jun,37,073,Gates,0.344107146973847
2010,jun,37,053,Currituck,0.360529258422928
2010,jun,37,019,Brunswick,0.22750467475024921
2010,jun,37,031,Carteret,0.28168920090139365
2010,jun,37,137,Pamlico,0.2642076425017272
2010,jun,37,049,Craven,0.3648308986107679
2010,jun,37,103,Jones,0.404848457681016
2010,jun,37,085,Harnett,0.28901883021515395
2010,jun,37,063,Durham,0.35712793117183766
2010,jun,37,145,Person,0.3755746653409757
2010,jun,37,135,Orange,0.37845800503466603
2010,jun,37,181,Vance,0.3892683754668935
2010,jun,37,077,Granville,0.38765930303668605
2010,jun,37,069,Franklin,0.38514661394884414
2010,jun,37,101,Johnston,0.37978732393850045
2010,jun,37,183,Wake,0.3774524087356581
2010,jun,37,105,Lee,0.3495599687917728
2010,jun,37,131,Northampton,0.3808350746965434
2010,jun,37,083,Halifax,0.3858942716601225
2010,jun,37,127,Nash,0.38578267324024473
2010,jun,37,065,Edgecombe,0.3804629922805449
2010,jun,37,195,Wilson,0.4065497865437082
2010,jun,37,163,Sampson,0.35202506138936424
2010,jun,37,185,Warren,0.3880770324095632
2010,jun,37,187,Washington,0.4143520009086908
2010,jun,37,061,Duplin,0.37984334570089495
2010,jun,37,091,Hertford,0.35200414472763514
2010,jun,37,017,Bladen,0.2250936081683864
2010,jun,37,095,Hyde,0.4479324223037142
2010,jun,37,015,Bertie,0.3278625924444459
2010,jun,37,079,Greene,0.4010944235571864
2010,jun,37,041,Chowan,0.3001324994691599
2010,jun,37,117,Martin,0.3478077838629459
2010,jun,37,047,Columbus,0.30230981390764183
2010,jun,37,191,Wayne,0.39234198120279734
2010,jun,37,133,Onslow,0.2490711164863832
