state_fips,county_fips,county_name,elevation_m,slope_deg
31,119,Madison,517.5436196403227,2.9166861586765647
31,167,Stanton,485.25864683070995,3.5514724316453945
31,117,McPherson,1011.4551790758837,3.228840591251064
31,111,Lincoln,909.2905606556096,3.1856781291699465
31,113,Logan,907.9479371659345,3.3681342466596815
31,007,Banner,1416.5098163670818,3.5471758827237627
31,157,Scotts Bluff,1261.8075474614727,2.951918815426219
31,165,Sioux,1354.4660024898883,3.7022426496115326
31,039,Cuming,434.9050877141806,2.9686877841474693
31,129,Nuckolls,524.1745995961411,2.4767735482164768
31,101,Keith,1025.6552742661543,2.88595353667232
31,137,Phelps,712.1192349189579,2.114316478230007
31,181,Webster,574.2197198920175,2.980316540397921
31,015,Boyd,527.4047754629488,3.9228711868838033
31,171,Thomas,905.366991727838,3.8617587140742784
31,089,Holt,619.8026868123022,2.257376095133818
31,017,Brown,787.4917074711592,3.0654446071668944
31,103,Keya Paha,691.2126653851192,3.429339575581123
31,077,Greeley,625.3296611510202,4.032635330777342
31,095,Jefferson,436.12882069661936,2.9024276415249517
31,151,Saline,446.60903242604235,2.8871819524900655
31,057,Dundy,1006.9438512524792,2.6713849613708684
31,131,Otoe,350.13103947147744,3.1514244038155645
31,087,Hitchcock,876.0787388257089,3.3453190477727692
31,105,Kimball,1501.9297338633576,2.399074871400863
31,127,Nemaha,321.7032639118484,3.4178552779153284
31,041,Custer,797.9160732561785,3.946868083952912
31,143,Polk,498.51993374114767,2.1310524555177
31,045,Dawes,1165.1159535230663,3.61899845198418
31,179,Wayne,487.07069849530797,3.621461510139685
31,071,Garfield,694.06236057939,2.8416176090909175
31,013,Box Butte,1271.7792775976031,2.1440850404317073
31,173,Thurston,407.67341456401186,4.339186645294624
31,011,Boone,580.1546624420881,3.6015304908551835
31,145,Red Willow,783.5969502254202,3.2309748461390027
31,149,Rock,725.7071017348171,2.574382427746245
31,005,Arthur,1118.8755085331252,3.9187300180094513
31,085,Hayes,922.5028304658534,3.6551739818788724
31,097,Johnson,376.33683244155884,3.143984470296798
31,003,Antelope,568.241903255005,2.796866990795139
31,163,Sherman,659.8219660771459,3.696279807427799
31,161,Sheridan,1163.3375952217916,3.4457805516791256
31,133,Pawnee,390.54291042934557,3.9898565326131945
31,075,Grant,1148.0779614293795,4.478819507719006
31,021,Burt,370.6606433023929,3.6224918304788334
31,009,Blaine,804.2732539226283,3.0766646453026603
31,027,Cedar,452.615313317307,3.784502115992356
31,169,Thayer,475.39293249082345,2.4912173823758463
31,049,Deuel,1138.6876280730369,2.0188616911044126
31,123,Morrill,1219.3885748512469,3.3832758536036134
31,115,Loup,736.7631154475722,3.150064415899923
31,063,Frontier,813.6012389124073,3.7962304577546524
31,125,Nance,530.5196694990694,3.27713472586966
31,107,Knox,488.0577408774051,3.888222586666879
31,135,Perkins,1034.0220915749067,2.2644369191869678
31,037,Colfax,453.3614259239902,2.7750169745847906
31,023,Butler,471.3228415192426,2.749023303568344
31,031,Cherry,971.1688869313022,3.424962482878374
31,183,Wheeler,639.9775270680716,3.073873964761551
31,061,Franklin,623.9386213964633,2.8995787336387138
31,029,Chase,1018.9116130557009,2.6407378070589282
31,059,Fillmore,496.43465477721617,2.2765826540636955
31,185,York,501.04382984025375,2.3928196530343797
31,035,Clay,540.2594264908173,2.0150837983120784
