year,county_fips,county_name,yield_bu_acre,ndvi_corn_mean,corn_pixel_count,precip_sum_mm,tmean_c,tmax_c,tmin_c
2021,109,KOSSUTH,190.7,0.8062036014425038,27336,329.6368888593458,22.5120966711228,28.811258570606295,16.199957411146634
2022,109,KOSSUTH,196.8,0.8276932350430498,27082,279.7250696358328,21.848704006561256,27.80572686740245,15.89182410925683
2010,111,LEE,103.2,0.7188886891140897,7571,643.4777123594761,24.93732673723668,30.15875779778994,19.716887940336157
2011,111,LEE,105.2,0.7455258790783778,6872,358.1299568333041,24.775040389835027,30.13479360331845,19.416283799269006
2012,111,LEE,116.0,0.7387869076769297,6667,143.59269068758596,24.82812965919205,31.525469337377455,18.131803815939858
2013,111,LEE,144.1,0.7364745398839931,6219,146.12295571805143,23.33821464299515,28.83913089309769,17.838293476070344
2014,111,LEE,200.6,0.8408875970742332,6694,430.20813953495224,22.697869689378663,27.59037616288347,17.80637124654398
2015,111,LEE,145.1,0.7738233282777698,6830,496.26816967855575,22.76344714899465,27.821811759735105,17.706075931988124
2016,111,LEE,194.6,0.8065408735281965,6775,335.3421946877208,24.19936890187294,29.579281601597437,18.820448749765333
2017,111,LEE,178.0,0.7895103437526042,7230,208.64094927629645,23.305973103139458,29.438581358046857,17.174367348934375
2018,111,LEE,201.3,0.7656936822908729,6497,319.02320032430714,24.30098286323312,29.852764612754054,18.750189195383168
2019,111,LEE,172.5,0.7431948909111253,6445,286.23472139729665,23.592209982197943,28.85932374142499,18.325199462685045
2020,111,LEE,174.3,0.7899744293212329,6855,262.31212782987245,24.07537454214391,29.595920948133305,18.554928477565703
2021,111,LEE,160.4,0.7855204029917054,6545,376.65382484534337,24.101963248853277,29.26569017028653,18.910492927240565
2022,111,LEE,178.2,0.7919472238565052,6165,148.1165418930109,23.953074088398512,29.49248872909517,18.413801862525705
2023,111,LEE,203.7,0.8044389306021495,6607,318.6388746169258,23.359715225040105,29.120547162660337,17.59902700084748
2010,113,LINN,170.3,0.8101572375310115,13706,534.8453622786681,22.789789588330645,28.11885028302212,17.461714677632983
2011,113,LINN,169.1,0.793241153932242,14593,334.56471574699833,22.592454105829297,28.25429972125422,16.931599918104933
2012,113,LINN,124.2,0.7531369303649726,13612,174.85366971556292,22.964252713305846,29.90251738227706,16.02697434149594
2013,113,LINN,178.6,0.7814882787141902,13254,296.2676759848621,21.468166635099585,27.375259227451252,15.562067711903692
2014,113,LINN,176.1,0.8104999677595419,13176,410.7089866547425,21.087988004405965,26.522845692974933,15.6541228486139
2015,113,LINN,189.2,0.8124304366054808,13375,383.9848284768794,20.86228770487132,26.453860852613477,15.271712580270645
2016,113,LINN,200.3,0.8526879987295043,13337,468.5852297454112,22.322903782390288,27.945380237068385,16.701418647143356
2017,113,LINN,217.4,0.8247245888050249,13118,303.17002935947346,21.211842299495498,27.53009722582811,14.894568612090676
