year,state_fips,state_alpha,county_fips,county_name,yield_bu_acre,ndvi_jun,ndvi_jul,ndvi_aug,precip_sum_jun,precip_sum_jul,precip_sum_aug,tmean_jun,tmean_jul,tmean_aug,tmax_jun,tmax_jul,tmax_aug,tmin_jun,tmin_jul,tmin_aug,soil_moisture_jun,soil_moisture_jul,soil_moisture_aug,soil_organic_carbon,soil_ph,soil_clay_pct,soil_sand_pct,soil_water_content_33kpa,elevation_m,slope_deg,pct_continuous
2020,37,NC,077,GRANVILLE,34.7,0.7321713091658288,0.7442225444405876,0.8170031691109175,181.4176485597702,56.6756971446641,183.72824302904615,23.18977774847673,27.31867091371727,25.699921642686643,28.09372436860515,33.097956686810825,30.329313631288255,18.28593445051974,21.539490687759137,21.07062914837699,0.4196320095646884,0.3904149119589064,0.4484041974161878,4.256792429158801,54.276129980553925,14.967763619359328,42.09962818706978,22.001210673084017,134.20292387057887,3.87393935843392,0.5412928165874122
2021,37,NC,077,GRANVILLE,35.8,0.7189657415347703,0.811865404710093,0.8263211448569179,119.26045974744277,189.23647748488716,118.1941137601408,23.668450070007232,25.50494266339676,25.718905786405788,28.804674430355213,30.679340964996584,31.01844518107708,18.622138779041546,20.33068583653139,20.41950353338639,0.4193745223346189,0.4110983133139433,0.4187641967373129,4.256792429158801,54.276129980553925,14.967763619359328,42.09962818706978,22.001210673084017,134.20292387057887,3.87393935843392,0.5064166148121222
2022,37,NC,077,GRANVILLE,32.9,0.70462560087042,0.8058702591955628,0.8076678265829004,48.63199253629604,151.61816598647343,61.35361368030684,23.965689136592363,26.47244213527736,24.81725072902127,30.065757440475085,31.71192532832137,30.10364181796279,17.8657630164538,21.233098907639103,19.5309999057777,0.3253031263680293,0.3881050334859777,0.4076868674607923,4.256792429158801,54.276129980553925,14.967763619359328,42.09962818706978,22.001210673084017,134.20292387057887,3.87393935843392,0.4684187070952924
2023,37,NC,077,GRANVILLE,28.5,0.7013696291575657,0.7995336180853196,0.8086284526583618,111.82953632985658,129.0646498629614,68.5364301833697,21.78817856365286,26.312064108515223,25.102411835872413,27.639023298119163,31.753930539086856,30.659986903861043,15.937478112594698,20.87033772651461,19.544978324196105,0.3733792333554186,0.3902928735709484,0.3457531547016566,4.256792429158801,54.276129980553925,14.967763619359328,42.09962818706978,22.001210673084017,134.20292387057887,3.87393935843392,0.6102066429796186
2010,37,NC,079,GREENE,19.4,0.584973704479487,0.7745337024156115,0.7796908858706555,77.34259271397282,104.5384133691446,120.53502434042768,27.857826180600092,27.601116309788896,26.882070864663653,33.677432389288875,33.337151421097246,32.374826634608695,22.039184278951076,21.866123281162203,21.39032163313447,0.4010944235571864,0.4177651165310827,0.3973666772635663,2.8433884985668754,54.21911519933456,11.529579603804306,56.982197256236475,16.75119451235755,25.022307194753235,4.32783554022679,0.515398247724248
2011,37,NC,079,GREENE,32.8,0.6182956460636474,0.7403299676209776,0.8159098244227385,83.65591573022138,151.40348262046,356.1429593088036,26.36219671671807,28.21365954678377,26.3874701086802,32.65204747255415,34.36863310320895,32.06797715437092,20.07334674111301,22.059663592732015,20.70799082719763,0.3161329864830305,0.3644455282604647,0.3988660687506732,2.8433884985668754,54.21911519933456,11.529579603804306,56.982197256236475,16.75119451235755,25.022307194753235,4.32783554022679,0.4410708324653192
2012,37,NC,079,GREENE,39.3,0.5594679954121774,0.8047178658137457,0.8467534594481402,38.252973117418115,249.68780091270645,191.24424583924096,23.09997548778582,28.11158065928079,25.557516544626655,29.483711622767455,33.64658643305741,30.077479653427368,16.71720819703881,22.577546316274532,21.038545508118936,0.4226771880017843,0.4236902123376368,0.4533900528279237,2.8433884985668754,54.21911519933456,11.529579603804306,56.982197256236475,16.75119451235755,25.022307194753235,4.32783554022679,0.3524618811512079
2013,37,NC,079,GREENE,34.5,0.654761735677822,0.7326406503662767,0.7809652467385135,267.97650534427225,142.7606381685372,99.15107182403987,24.922437207180646,26.704182291269937,24.840036808723752,29.912256399181093,31.3466438421701,29.93769848111174,19.933593718360843,22.06273392961637,19.743381754622913,0.4433991085111788,0.4326708829511155,0.4452685281158516,2.8433884985668754,54.21911519933456,11.529579603804306,56.982197256236475,16.75119451235755,25.022307194753235,4.32783554022679,0.3079688878008206
2014,37,NC,079,GREENE,39.9,0.6170733640402845,0.7657175463807293,0.8015161401299878,142.94289387075375,227.4840317420126,158.5395322472034,25.401731001736668,25.7323258629734,24.48570260928466,31.20804633914247,30.687201566732735,29.20059012902658,19.596422088705165,20.77849405924854,19.77180884110123,0.3955471284644818,0.4134736860448555,0.439464655382506,2.8433884985668754,54.21911519933456,11.529579603804306,56.982197256236475,16.75119451235755,25.022307194753235,4.32783554022679,0.2337821752715369
2015,37,NC,079,GREENE,36.0,0.607173482138934,0.7862108705347327,0.7749543104925523,92.02076546506515,148.623970187351,84.79065886646464,26.745135932782873,27.017597885266824,25.40827555235984,32.42754473921052,32.24845608818393,30.979043651773175,21.063750017290435,21.78771896497298,19.83852976312753,0.4109424264880087,0.4064826692500245,0.3915418731725265,2.8433884985668754,54.21911519933456,11.529579603804306,56.982197256236475,16.75119451235755,25.022307194753235,4.32783554022679,0.3961491031314257
