year,state_fips,state_alpha,county_fips,county_name,yield_bu_acre,ndvi_jun,ndvi_jul,ndvi_aug,precip_sum_jun,precip_sum_jul,precip_sum_aug,tmean_jun,tmean_jul,tmean_aug,tmax_jun,tmax_jul,tmax_aug,tmin_jun,tmin_jul,tmin_aug,soil_moisture_jun,soil_moisture_jul,soil_moisture_aug,soil_organic_carbon,soil_ph,soil_clay_pct,soil_sand_pct,soil_water_content_33kpa,elevation_m,slope_deg,pct_continuous
2016,17,IL,165,SALINE,136.6,0.5917952358909043,0.8318330500619813,0.7276287693491426,51.40885269144005,276.6862628890102,191.44586740225873,25.225401766614713,26.008520245721915,25.436779710099213,31.054264981282262,30.803485730179897,29.92916924484355,19.39753473244848,21.214544969529207,20.94534915079798,0.3226965240047172,0.3346031402314803,0.3839766989292388,2.6433291021084497,58.95283669743843,19.106539873614658,17.389408422720106,23.07680129496062,127.46582083568538,3.0364979446377207,0.1148891472663372
2017,17,IL,165,SALINE,171.1,0.7372218451408059,0.8652966154516716,0.7444627176637234,94.62515434348674,86.8136181058716,56.076380994598594,23.281158466568694,25.88663605980721,22.85634445456551,29.248672250341485,31.474011965015848,28.847922197930867,17.314638596358808,20.300256001044488,16.86576686180713,0.3315618421206061,0.3019892962493125,0.2802727036709635,2.6433291021084497,58.95283669743843,19.106539873614658,17.389408422720106,23.07680129496062,127.46582083568538,3.0364979446377207,0.0589281007854093
2018,17,IL,165,SALINE,160.5,0.7383713324081785,0.8325263141125343,0.7092390377985474,135.17230955268485,62.8970159859648,60.97397743298072,25.28098301073458,25.293324922876973,24.404526559412275,30.741991832267455,30.881737309818753,29.863474035954145,19.82096705988391,19.70589784628284,18.946557497902088,0.3557747048927934,0.2985745319682845,0.3553844827874335,2.6433291021084497,58.95283669743843,19.106539873614658,17.389408422720106,23.07680129496062,127.46582083568538,3.0364979446377207,0.0571171260237829
2020,17,IL,165,SALINE,191.0,0.7627000267105989,0.8607922405232251,0.750691137327776,155.17266096238885,100.81225666818804,76.55588141485596,23.61426678177065,26.260381330350967,23.41875072058518,29.435963466178592,31.621620851768338,28.661403814084824,17.79267069957849,20.89924490293102,18.17619945082903,0.35816131138841,0.3469290073611918,0.3726703174191862,2.6433291021084497,58.95283669743843,19.106539873614658,17.389408422720106,23.07680129496062,127.46582083568538,3.0364979446377207,0.1191576207235638
2021,17,IL,165,SALINE,191.8,0.7689185888936135,0.8727064844192096,0.7277398259166571,96.82705589366208,183.6630564382315,102.22332831652396,24.14225994457751,24.605565322654847,25.306419226661195,29.491150072604267,29.79995534864525,30.926500100042343,18.796765993643504,19.411317140058703,19.686482001229436,0.361298594937909,0.368276441848923,0.3253876487996804,2.6433291021084497,58.95283669743843,19.106539873614658,17.389408422720106,23.07680129496062,127.46582083568538,3.0364979446377207,0.0881123930468062
2022,17,IL,165,SALINE,180.7,0.7013261857288723,0.862491093384303,0.8200447782937047,81.29570774669331,183.1452037522782,68.00389974703134,24.169483200088244,26.178292349297895,24.7003884067409,30.843124165226932,31.741238412409633,30.47280193029943,17.495980447962673,20.615486677446707,18.928115227122305,0.3069312225458591,0.3039323192709905,0.3572717848921664,2.6433291021084497,58.95283669743843,19.106539873614658,17.389408422720106,23.07680129496062,127.46582083568538,3.0364979446377207,0.0714395339593906
2023,17,IL,165,SALINE,170.3,0.7276286303147301,0.8632486652078003,0.7994871031813142,39.59721027698884,127.33992083154536,121.770267186402,23.453985134959673,25.90674101422619,24.461564464283303,30.56683227203604,31.572877734546676,29.872854304378095,16.341281183027753,20.240748487494564,19.050417768477935,0.2869396526145031,0.3322820961826017,0.3812673321792764,2.6433291021084497,58.95283669743843,19.106539873614658,17.389408422720106,23.07680129496062,127.46582083568538,3.0364979446377207,0.0499577735889571
2010,17,IL,167,SANGAMON,154.5,0.8370546070996405,0.8531196668831017,0.6103992169310357,199.7059144785904,147.53407792516808,83.78674851388273,24.2142037462073,25.556561807564748,24.90789664466541,29.36140887651637,30.551957736260615,30.799099036287455,19.068005516573457,20.562152947073628,19.01770361779851,0.3544232255229549,0.2883864562755577,0.2439954197495415,2.8407470981687255,61.755421714966346,22.570538507610447,17.434412674034572,22.94429897645403,182.36885178332815,2.2489072896013265,0.519802078889345
2011,17,IL,167,SANGAMON,165.7,0.7938082673262602,0.8683432915497308,0.7085554085063525,203.7535369365325,39.49125331300843,9.855182920220184,22.880464295162852,27.168675181267247,24.339847444380865,27.9321598295876,32.641955711950665,30.947899039012768,17.82975207474752,21.696405461602808,17.73277349999011,0.3516875527853654,0.2525331080926825,0.2089794163056648,2.8407470981687255,61.755421714966346,22.570538507610447,17.434412674034572,22.94429897645403,182.36885178332815,2.2489072896013265,0.4692369018309705
2012,17,IL,167,SANGAMON,131.3,0.8354560456955216,0.7146716774410521,0.528854398631742,21.27019738248407,10.834548061756992,51.87120366059197,22.86346119355369,28.01502243098772,23.69490216837032,29.527147853259734,34.853529480758276,31.22502120065607,16.200768037382456,21.17749997539318,16.165772679794294,0.1818225376906327,0.1563174824781714,0.212347597926391,2.8407470981687255,61.755421714966346,22.570538507610447,17.434412674034572,22.94429897645403,182.36885178332815,2.2489072896013265,0.5246254014877043
